,Date,Date_local,longitude,latitude,d2m,t2m,sp,d2m_C,t2m_C,rh,pv_power,irradiance_direct,irradiance_diffuse,wind_power,wind_speed,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday
0,1/1/2022 0:00,12/31/2021 19:00,-81.75,43.75,275.3942,276.64484,98317.04,2.2442017,3.4948425,91.52196,0,0,0,519.26,5.745,19,0.460065038,-0.887885218,52,1,6.43E-16,12,1,-2.45E-16,0
1,1/1/2022 1:00,12/31/2021 20:00,-81.75,43.75,275.46854,276.70978,98336.234,2.3185425,3.559784,91.58746,0,0,0,386.499,5.213,20,0.682553143,-0.730835964,52,1,6.43E-16,12,1,-2.45E-16,0
2,1/1/2022 2:00,12/31/2021 21:00,-81.75,43.75,275.55988,276.7182,98262.734,2.4098816,3.5682068,92.12975,0,0,0,215.281,4.335,21,0.854419405,-0.51958395,52,1,6.43E-16,12,1,-2.45E-16,0
3,1/1/2022 3:00,12/31/2021 22:00,-81.75,43.75,275.73514,276.73743,98325.2,2.585144,3.5874329,93.15794,0,0,0,157.372,3.942,22,0.962917287,-0.269796771,52,1,6.43E-16,12,1,-2.45E-16,0
4,1/1/2022 4:00,12/31/2021 23:00,-81.75,43.75,275.98898,276.7122,98260.28,2.8389893,3.5621948,95.01914,0,0,0,108.555,3.537,23,1,-2.45E-16,52,1,6.43E-16,12,1,-2.45E-16,0
5,1/1/2022 5:00,1/1/2022 0:00,-81.75,43.75,276.1536,276.5234,98163.72,3.003601,3.373413,97.421,0,0,0,87.414,3.326,0,1,0,52,1,6.43E-16,1,0.866025404,0.5,0
6,1/1/2022 6:00,1/1/2022 1:00,-81.75,43.75,275.92206,276.55588,98156.77,2.7720642,3.4058838,95.61719,0,0,0,70.123,3.121,1,0.962917287,0.269796771,52,1,6.43E-16,1,0.866025404,0.5,0
7,1/1/2022 7:00,1/1/2022 2:00,-81.75,43.75,275.8233,276.55466,98113.086,2.6733093,3.404663,94.95803,0,0,0,115.079,3.597,2,0.854419405,0.51958395,52,1,6.43E-16,1,0.866025404,0.5,0
8,1/1/2022 8:00,1/1/2022 3:00,-81.75,43.75,275.63742,276.5174,98151.26,2.4874268,3.3674011,93.95963,0,0,0,302.428,4.818,3,0.682553143,0.730835964,52,1,6.43E-16,1,0.866025404,0.5,0
9,1/1/2022 9:00,1/1/2022 4:00,-81.75,43.75,275.32516,276.37912,98179.234,2.175171,3.229126,92.796585,0,0,0,662.683,6.233,4,0.460065038,0.887885218,52,1,6.43E-16,1,0.866025404,0.5,0
10,1/1/2022 10:00,1/1/2022 5:00,-81.75,43.75,275.41968,276.14462,98210.67,2.2696838,2.994629,94.98494,0,0,0,1055.067,7.429,5,0.203456013,0.979084088,52,1,6.43E-16,1,0.866025404,0.5,0
11,1/1/2022 11:00,1/1/2022 6:00,-81.75,43.75,275.06918,276.15665,98254.36,1.9191895,3.0066528,92.56234,0,0,0,1484.977,8.731,6,-0.068242413,0.997668769,52,1,6.43E-16,1,0.866025404,0.5,0
12,1/1/2022 12:00,1/1/2022 7:00,-81.75,43.75,274.72296,276.10013,98280.7,1.5729675,2.9501343,90.66141,0,0,0,1756.392,9.734,7,-0.334879612,0.942260922,52,1,6.43E-16,1,0.866025404,0.5,0
13,1/1/2022 13:00,1/1/2022 8:00,-81.75,43.75,274.25986,275.86206,98448.93,1.1098633,2.7120667,89.19141,0.004,0.001,0.011,1795.449,9.908,8,-0.576680322,0.816969893,52,1,6.43E-16,1,0.866025404,0.5,0
14,1/1/2022 14:00,1/1/2022 9:00,-81.75,43.75,273.7299,275.52777,98440.35,0.579895,2.377777,87.91411,0.037,0.004,0.048,1810.39,9.979,9,-0.775711291,0.631087944,52,1,6.43E-16,1,0.866025404,0.5,0
15,1/1/2022 15:00,1/1/2022 10:00,-81.75,43.75,273.12766,275.34982,98524.875,-0.022338867,2.199829,85.23837,0.078,0.008,0.088,1917.816,10.526,10,-0.917211302,0.39840109,52,1,6.43E-16,1,0.866025404,0.5,0
16,1/1/2022 16:00,1/1/2022 11:00,-81.75,43.75,272.4904,275.07687,98608.79,-0.65960693,1.9268799,82.97753,0.078,0.006,0.09,2024.958,11.217,11,-0.990685946,0.136166649,52,1,6.43E-16,1,0.866025404,0.5,0
17,1/1/2022 17:00,1/1/2022 12:00,-81.75,43.75,271.96042,274.6945,98499.766,-1.1895752,1.5444946,82.0379,0.09,0.007,0.101,2083.975,11.708,12,-0.990685946,-0.136166649,52,1,6.43E-16,1,0.866025404,0.5,0
18,1/1/2022 18:00,1/1/2022 13:00,-81.75,43.75,271.4081,274.34338,98533.05,-1.7418823,1.1933899,80.78718,0.08,0.006,0.091,2126.064,12.136,13,-0.917211302,-0.39840109,52,1,6.43E-16,1,0.866025404,0.5,0
19,1/1/2022 19:00,1/1/2022 14:00,-81.75,43.75,270.96414,274.14017,98505.07,-2.185852,0.99017334,79.3367,0.053,0.004,0.065,2125.974,12.135,14,-0.775711291,-0.631087944,52,1,6.43E-16,1,0.866025404,0.5,0
20,1/1/2022 20:00,1/1/2022 15:00,-81.75,43.75,270.6094,273.79868,98478.53,-2.5405884,0.64868164,79.20715,0.022,0.002,0.034,2151.027,12.422,15,-0.576680322,-0.816969893,52,1,6.43E-16,1,0.866025404,0.5,0
21,1/1/2022 21:00,1/1/2022 16:00,-81.75,43.75,270.26953,273.48,98501.805,-2.8804626,0.3300171,79.03388,0.001,0.001,0.008,2115.604,12.011,16,-0.334879612,-0.942260922,52,1,6.43E-16,1,0.866025404,0.5,0
22,1/1/2022 22:00,1/1/2022 17:00,-81.75,43.75,270.23553,273.4187,98461.99,-2.9144592,0.26870728,79.18498,0,0,0,2156.373,12.499,17,-0.068242413,-0.997668769,52,1,6.43E-16,1,0.866025404,0.5,0
23,1/1/2022 23:00,1/1/2022 18:00,-81.75,43.75,269.87762,272.90045,98575.914,-3.2723694,-0.24954224,80.056915,0,0,0,2149.428,12.403,18,0.203456013,-0.979084088,52,1,6.43E-16,1,0.866025404,0.5,0
24,1/2/2022 0:00,1/1/2022 19:00,-81.75,43.75,269.3763,272.4471,98555.7,-3.7736816,-0.70288086,79.70328,0,0,0,2131.869,12.195,19,0.460065038,-0.887885218,52,1,6.43E-16,1,0.866025404,0.5,0
25,1/2/2022 1:00,1/1/2022 20:00,-81.75,43.75,268.92917,272.05392,98603.27,-4.220825,-1.0960693,79.32207,0,0,0,2068.219,11.566,20,0.682553143,-0.730835964,52,1,6.43E-16,1,0.866025404,0.5,0
26,1/2/2022 2:00,1/1/2022 21:00,-81.75,43.75,268.5553,271.79782,98624.305,-4.594696,-1.3521729,78.58286,0,0,0,2081.019,11.675,21,0.854419405,-0.51958395,52,1,6.43E-16,1,0.866025404,0.5,0
27,1/2/2022 3:00,1/1/2022 22:00,-81.75,43.75,268.34818,271.51883,98595.92,-4.801819,-1.6311646,78.96609,0,0,0,2131.844,12.2,22,0.962917287,-0.269796771,52,1,6.43E-16,1,0.866025404,0.5,0
28,1/2/2022 4:00,1/1/2022 23:00,-81.75,43.75,268.10602,271.21942,98572.445,-5.043976,-1.9305725,79.26196,0,0,0,2140.344,12.3,23,1,-2.45E-16,52,1,6.43E-16,1,0.866025404,0.5,0
29,1/2/2022 5:00,1/2/2022 0:00,-81.75,43.75,267.92654,271.02826,98576.53,-5.2234497,-2.1217346,79.302704,0,0,0,2100.502,11.867,0,1,0,52,1,6.43E-16,1,0.866025404,0.5,0
30,1/2/2022 6:00,1/2/2022 1:00,-81.75,43.75,267.82562,270.8094,98507.32,-5.3243713,-2.3406067,79.98132,0,0,0,2029.498,11.24,1,0.962917287,0.269796771,52,1,6.43E-16,1,0.866025404,0.5,0
31,1/2/2022 7:00,1/2/2022 2:00,-81.75,43.75,267.68225,270.54367,98545.29,-5.467743,-2.6063232,80.68769,0,0,0,1948.328,10.704,2,0.854419405,0.51958395,52,1,6.43E-16,1,0.866025404,0.5,0
32,1/2/2022 8:00,1/2/2022 3:00,-81.75,43.75,267.47302,270.29837,98576.33,-5.6769714,-2.8516235,80.873634,0,0,0,1904.288,10.45,3,0.682553143,0.730835964,52,1,6.43E-16,1,0.866025404,0.5,0
33,1/2/2022 9:00,1/2/2022 4:00,-81.75,43.75,267.2372,270.10596,98623.69,-5.912781,-3.0440369,80.579155,0,0,0,1915.399,10.512,4,0.460065038,0.887885218,52,1,6.43E-16,1,0.866025404,0.5,0
34,1/2/2022 10:00,1/2/2022 5:00,-81.75,43.75,267.11722,270.10236,98681.06,-6.032776,-3.047638,79.866936,0,0,0,1950.258,10.715,5,0.203456013,0.979084088,52,1,6.43E-16,1,0.866025404,0.5,0
35,1/2/2022 11:00,1/2/2022 6:00,-81.75,43.75,266.8591,269.90878,98707.195,-6.2908936,-3.241211,79.445015,0,0,0,2009.276,11.096,6,-0.068242413,0.997668769,52,1,6.43E-16,1,0.866025404,0.5,0
36,1/2/2022 12:00,1/2/2022 7:00,-81.75,43.75,266.66156,269.82822,98758.44,-6.488434,-3.3217773,78.724884,0,0,0,2036.602,11.306,7,-0.334879612,0.942260922,52,1,6.43E-16,1,0.866025404,0.5,0
37,1/2/2022 13:00,1/2/2022 8:00,-81.75,43.75,266.4895,269.7753,98785.18,-6.660492,-3.3746948,78.00115,0.005,0.002,0.012,2044.691,11.37,8,-0.576680322,0.816969893,52,1,6.43E-16,1,0.866025404,0.5,0
38,1/2/2022 14:00,1/2/2022 9:00,-81.75,43.75,266.2792,269.70316,98882.77,-6.8707886,-3.4468384,77.1668,0.035,0.005,0.044,2043.576,11.354,9,-0.775711291,0.631087944,52,1,6.43E-16,1,0.866025404,0.5,0
39,1/2/2022 15:00,1/2/2022 10:00,-81.75,43.75,265.94995,269.5817,98969.336,-7.2000427,-3.5682983,75.92266,0.164,0.055,0.124,1990.063,10.97,10,-0.917211302,0.39840109,52,1,6.43E-16,1,0.866025404,0.5,0
40,1/2/2022 16:00,1/2/2022 11:00,-81.75,43.75,265.67487,269.46747,99130.01,-7.475128,-3.6825256,74.96651,0.358,0.217,0.159,1897.103,10.4,11,-0.990685946,0.136166649,52,1,6.43E-16,1,0.866025404,0.5,0
41,1/2/2022 17:00,1/2/2022 12:00,-81.75,43.75,265.4561,269.3424,99174.516,-7.6939087,-3.8075867,74.40271,0.453,0.329,0.15,1818.805,10.018,12,-0.990685946,-0.136166649,52,1,6.43E-16,1,0.866025404,0.5,0
42,1/2/2022 18:00,1/2/2022 13:00,-81.75,43.75,265.0992,269.227,99202.28,-8.050781,-3.9230042,73.00247,0.549,0.471,0.116,1754.698,9.731,13,-0.917211302,-0.39840109,52,1,6.43E-16,1,0.866025404,0.5,0
43,1/2/2022 19:00,1/2/2022 14:00,-81.75,43.75,264.96326,269.11154,99221.27,-8.186737,-4.038452,72.86395,0.474,0.408,0.095,1664.58,9.367,14,-0.775711291,-0.631087944,52,1,6.43E-16,1,0.866025404,0.5,0
44,1/2/2022 20:00,1/2/2022 15:00,-81.75,43.75,264.9091,269.0334,99298.65,-8.240906,-4.1166077,72.98464,0.297,0.241,0.072,1581.378,9.051,15,-0.576680322,-0.816969893,52,1,6.43E-16,1,0.866025404,0.5,0
45,1/2/2022 21:00,1/2/2022 16:00,-81.75,43.75,264.73917,268.8855,99415.836,-8.410828,-4.264496,72.83095,0.068,0.06,0.023,1556.469,8.973,16,-0.334879612,-0.942260922,52,1,6.43E-16,1,0.866025404,0.5,0
46,1/2/2022 22:00,1/2/2022 17:00,-81.75,43.75,264.1093,268.48508,99602.03,-9.04068,-4.664917,71.45977,0,0,0,1574.943,9.029,17,-0.068242413,-0.997668769,52,1,6.43E-16,1,0.866025404,0.5,0
47,1/2/2022 23:00,1/2/2022 18:00,-81.75,43.75,263.9001,268.4466,99683.9,-9.249908,-4.7033997,70.50286,0,0,0,1549.861,8.95,18,0.203456013,-0.979084088,52,1,6.43E-16,1,0.866025404,0.5,0
48,1/3/2022 0:00,1/2/2022 19:00,-81.75,43.75,263.70996,268.46826,99750.05,-9.440033,-4.681732,69.345924,0,0,0,1371.283,8.368,19,0.460065038,-0.887885218,52,1,6.43E-16,1,0.866025404,0.5,0
