,demand
0,6898.139352766712
1,7304.84081684222
2,6847.073829219542
3,6759.823754293385
4,6582.712748432819
5,7248.371650789011
6,6547.591476960789
7,7147.079982613522
8,6735.435475034688
9,6939.998298497899
10,6850.039169460081
11,7133.65614232729
12,7190.678041207629
13,6563.2288648909225
14,7295.8944413909285
15,7189.095467007627
16,7298.910437765581
17,7456.724902189336
18,6414.199082697001
19,8476.211080546464
20,7135.13779872648
21,7504.484956670327
22,7885.797769342604
23,8160.869063248109
24,7998.950330231881
25,7895.776163976944
26,7970.491945014975
27,7332.914918965745
28,7764.18764777992
29,8724.055742422923
30,6789.4907151263515
31,7663.932109279578
32,7717.169768536295
33,7411.248247823765
34,7701.98944208262
35,7794.542328861342
36,7657.702072235071
37,7724.440528958967
38,7334.227594540978
39,7985.683506784656
40,7507.263394936907
41,7325.436258230794
42,8571.658017011554
43,7534.995392077379
44,7568.899467808274
45,7009.267623485803
46,7909.940457231438
47,7348.566704179022
48,7485.948532956338
49,8044.005254244389
50,7963.186850476741
51,7470.8871308452
52,7970.478735349952
53,7922.620176615413
54,7390.086112737986
55,7942.968545011521
56,7160.648481618305
57,7912.03056473644
58,7759.973329834499
59,7277.402292053974
60,7346.666282414114
61,8730.665012414845
62,6964.366697460233
63,7791.637454198544
64,7632.927251708279
65,7945.119531557298
66,7892.642016763225
67,8123.638324252155
68,8049.834164989037
69,7759.460531067664
70,7221.433914603496
71,7649.704671392566
72,7965.258232835114
73,7962.648736303783
74,8204.789239995407
75,7691.019292114402
76,7297.686655362766
77,7543.560331662743
78,7859.887410226434
79,8135.0871135426605
80,8145.420976804574
81,8058.2810878122145
82,7270.858584068788
83,8882.685573743942
84,13395.162364184274
85,23983.849641024786
86,26678.712513465798
87,26173.728187363926
88,31478.71398439046
89,21322.70296856116
90,27681.599994027023
91,31127.24885510204
92,28856.021223105883
93,27891.87982547049
94,20238.25021755665
95,10569.038565216035
96,7168.985691193799
97,6623.990897857003
98,7448.796455737432
99,6705.9723031152225
100,7139.456217520231
101,7004.48021974972
102,6783.222355497041
103,6966.1812427377
104,7037.959714111374
105,6768.162615116003
106,7692.490218212266
107,7831.833120998384
108,12210.722451799107
109,24054.56142837203
110,25378.614379327988
111,28520.618703171116
112,27424.275134779677
113,24460.264697322367
114,28435.14034636426
115,33848.72427590665
116,28954.98303104697
117,27478.577533376767
118,23285.79576337425
119,11603.574720697046
120,7922.97894555153
121,7730.379476507708
122,8216.046857714231
123,7029.476012264408
124,7438.957121559729
125,7535.551611761803
126,7804.685255822768
127,7756.163176294645
128,6928.702853453869
129,7798.017917859866
130,7424.159514747642
131,10357.87000074287
132,12858.109593214713
133,24844.131432693084
134,24865.504301707813
135,27543.478048289773
136,29222.96424837117
137,26659.779653983867
138,31140.72872131299
139,29830.159176150093
140,30976.518959515877
141,28631.85633610508
142,22762.587531330875
143,11115.895060557574
144,8370.787941063405
145,7333.672886681442
146,7894.566463191275
147,7627.313448747857
148,7702.924273186938
149,8242.06216904569
150,8025.166178544005
151,8947.485177227096
152,7789.4501786453875
153,7529.454825786965
154,8279.269200090008
155,9266.60594494562
156,12853.866795236443
157,25349.12941784942
158,27662.035998916363
159,26056.71424194204
160,30208.63639880202
161,27319.107129622607
162,28340.75275315558
163,34831.19868927148
164,30260.91203829573
165,28377.247253425656
166,21657.909780980757
167,10858.073901009977
168,7759.021013398276
169,7549.103996191638
170,7658.664595970331
171,8243.359242675722
172,8080.065042602563
173,7730.967813097049
174,7929.033276429827
175,8413.224141452909
176,7808.032144185321
177,7662.407233255006
178,8106.121970579314
179,7598.946989400559
180,7338.549284061563
181,8551.72044356897
182,7382.964036812362
183,7879.0876190155095
184,7988.5386791387
185,7694.196190444737
186,8557.757348539362
187,8575.074016200326
188,7984.873545338605
189,7217.107113336884
190,7970.639651175141
191,7132.825064629708
192,8038.91516838472
193,8150.802542995112
194,7942.442672440336
195,7429.810428600662
196,7051.047431064132
197,6659.122588197193
198,6821.184562610677
199,7364.647145127551
200,6197.47688478772
201,7048.61601385757
202,6499.536128078985
203,7754.982080178495
204,6399.372911486432
205,6116.645412417611
206,7249.835705915512
207,7223.410743220269
208,6642.140886381892
209,6833.920635452387
210,7166.3971707734645
211,7624.8272997291515
212,8031.46327877277
213,7815.647520667048
214,7676.3668184371145
215,7464.835617335636
216,8157.3511362489535
217,8446.485863353422
218,8313.368301531274
219,7223.6673962207715
220,7833.199357045928
221,7433.459223422677
222,7940.704172774586
223,8859.311787686382
224,7909.144100914444
225,7791.078913621128
226,7584.657897720352
227,9393.1615639452
228,11992.98077772691
229,24574.634353210105
230,26872.887606047723
231,26669.619263539036
232,33215.11011595086
233,28731.03933444767
234,28189.107305112986
235,33329.27040161545
236,29609.01145576376
237,26715.57625415325
238,22321.57576947855
239,11649.220897502844
240,7277.530885892865
241,7184.615476896054
242,7879.529355525132
243,7217.96707995921
244,7276.702778497041
245,7687.693207329306
246,7597.309856913777
247,7948.266895994621
248,10426.234784567849
249,8834.467981522035
250,8392.62722924326
251,8470.57798126836
252,13134.969868775359
253,25020.934715912994
254,28880.871274123783
255,25592.114510861433
256,33385.486830379
257,25589.357959635672
258,29607.12760448364
259,32929.90701700892
260,33340.56045991627
261,31199.363159998582
262,21865.78042645515
263,11094.839304141542
264,7483.273308677984
265,6905.825643855836
266,7159.230932232561
267,8219.578533610065
268,7091.582431684451
269,7281.3293745386345
270,7545.189358970948
271,7492.157588786541
272,7417.998382669696
273,7363.06345478648
274,7531.69810346885
275,9782.850602608634
276,13554.78659206935
277,23833.481419576336
278,23918.507735008927
279,27324.952835350083
280,30229.01508428027
281,23726.23480855619
282,26781.736985388325
283,31519.71998387188
284,28328.146583535738
285,26518.087652551556
286,21293.669226635076
287,11361.030289552125
288,7365.316137718525
289,8415.469884362128
290,7889.725323610934
291,7694.233906445673
292,8060.597167450321
293,8325.261031969563
294,7774.595902207912
295,6732.429683167364
296,7270.526172451194
297,7734.103103851807
298,7816.796527314593
299,9750.319192968469
300,13396.884513675868
301,23286.953810259885
302,26712.98742881122
303,27017.766783387764
304,31254.01768813384
305,22788.860440335757
306,30718.439411407162
307,30811.44179277635
308,30728.26586142905
309,27269.64962074723
310,19783.932764378864
311,11276.134165925338
312,7784.49573981438
313,7862.8052647378845
314,7815.480353526534
315,7932.545857711284
316,7543.574260903232
317,7087.12791203168
318,7586.854926563372
319,7212.195885640807
320,7688.102683549074
321,7648.486392489124
322,7788.972327485825
323,8837.697547338912
324,13474.44464776898
325,24343.27056415732
326,26526.12779570002
327,28481.2367156756
328,31774.78560428428
329,26861.318344526713
330,29415.419007618108
331,28315.16098107432
332,29290.406660399527
333,31685.00939078893
334,20435.80031342161
335,13146.362735168395
336,9145.623929346364
337,10147.019681509337
338,9626.510739457339
339,9305.763777242793
340,9444.323743525187
341,8628.635917916385
342,10401.815340165935
343,9788.87493480807
344,9004.428212037074
345,9162.95460723865
346,9713.638975531303
347,9113.283362922019
348,9036.4859321106
349,9856.95981419669
350,9386.222627791909
351,9643.923800652934
352,9900.34142409492
353,9056.99921992351
354,10206.076806144412
355,9907.117841858673
356,8954.736490427089
357,8833.454443246095
358,9515.487744000768
359,9612.125015004125
360,9107.64690834734
361,9332.87641122851
362,9349.368997916126
363,9289.32946479623
364,9639.526595098363
365,10199.16440564937
366,10368.565819266967
367,9080.460033213245
368,9442.051645399571
369,9179.87327928485
370,9432.853337485694
371,9272.084934361794
372,10117.645958514095
373,9922.725653292966
374,7575.36188007407
375,8338.622367545273
376,7535.401727049204
377,7861.388092923282
378,8036.47809336157
379,7665.3714372884515
380,7511.557855113082
381,7937.983680470751
382,8125.963001367944
383,7751.922661626596
384,8510.902512991779
385,8089.351454536701
386,7597.732304340445
387,8097.8807293050195
388,7688.516565181213
389,7991.292760568783
390,8014.9325688034305
391,8432.184690688982
392,7891.2735909042085
393,8009.776766986855
394,7697.958242421132
395,8448.490463272914
396,12746.456801480292
397,23893.004392005736
398,22389.799489389818
399,28497.986536984
400,31308.004310957964
401,27162.458518952204
402,29928.339271497236
403,33800.51185349876
404,30343.931278496417
405,27077.688946846923
406,21965.22211180013
407,10836.326747759509
408,8313.367608571398
409,7328.705664653314
410,8356.875600089652
411,7559.026610288834
412,7590.757355989772
413,7360.338356199847
414,7691.8154735034805
415,7818.411366886122
416,7187.277774382988
417,7081.1320357412
418,7757.362656466572
419,8406.23313466354
420,13465.252946219924
421,25027.97090937822
422,24911.461605545224
423,32438.316548305353
424,30512.117131186358
425,24200.346164202034
426,31988.61921822777
427,32618.11198141351
428,29419.980713072502
429,27502.379047966006
430,22811.50097739461
431,12326.013583833941
432,7749.901327541902
433,7341.134020673967
434,7546.32452971627
435,8034.188673609131
436,7777.361003522022
437,7895.883964624405
438,7060.594792517834
439,7490.007151312649
440,6817.86280530493
441,6889.381428370663
442,6191.952259204943
443,8190.109463605438
444,11124.410187508289
445,21889.101826541286
446,24848.575135778632
447,26224.992823009106
448,29517.62443180786
449,21925.605832095876
450,27779.839150229058
451,32121.87144920445
452,30211.370087792402
453,28128.92905909659
454,20523.14699445222
455,11775.895256359285
456,7534.450443436868
457,7648.9816864670565
458,8147.898678818137
459,8322.844861226478
